customer_id,age,annual_income,purchase_frequency,avg_order_value,tenure_months,customer_satisfaction,num_support_tickets,total_spend,days_since_last_purchase,device_type,region,membership_tier,churned,spend_per_purchase,avg_monthly_spend,customer_lifetime_value,engagement_score,churn_risk_score,recency_score,frequency_score,monetary_score,age_income_interaction,support_satisfaction,age_group,income_tier,device_type_Desktop,device_type_Mobile,device_type_Tablet,region_Central,region_East,region_North,region_South,region_West,membership_tier_Bronze,membership_tier_Gold,membership_tier_Platinum,membership_tier_Silver,age_group_18-25,age_group_26-35,age_group_36-50,age_group_51-65,age_group_65+,income_tier_Low,income_tier_Medium,income_tier_High,income_tier_Very High,device_type_target_encoded,region_target_encoded,membership_tier_target_encoded,age_group_target_encoded,income_tier_target_encoded,device_type_freq,region_freq,membership_tier_freq,age_group_freq,income_tier_freq,purchase_day,purchase_month,day_sin,day_cos,month_sin,month_cos
1,43,20000,6,138,12,4.3,1,23061,20,Mobile,West,Bronze,0,3843.5,1921.75,23061,10.0,0,0.8007374029168081,1.9459101490553132,10.045941520331061,86.0,0.7000000000000002,36-50,Low,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,0.17439919893190922,0.17435897435897435,0.17365878464276632,0.16906390002357935,0.17519623233908949,0.5992,0.195,0.3933,0.4241,0.3185,6,2,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001
2,36,20000,6,52,1,2.8,2,20797,3,Mobile,Central,Bronze,0,3466.17,20797.0,20797,10.0,50,0.9672161004820059,1.9459101490553132,9.942612107220178,72.0,4.4,36-50,Low,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0.17439919893190922,0.15396188565697091,0.17365878464276632,0.16906390002357935,0.17519623233908949,0.5992,0.1994,0.3933,0.4241,0.3185,3,7,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388
3,45,20000,6,241,26,3.4,0,18391,24,Mobile,Central,Platinum,0,3065.17,707.35,18391,10.0,0,0.7659283383646487,1.9459101490553132,9.819671066443018,90.0,0.0,36-50,Low,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,0.17439919893190922,0.15396188565697091,0.14825306893295562,0.16906390002357935,0.17519623233908949,0.5992,0.1994,0.1059,0.4241,0.3185,4,9,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16
4,56,20000,9,184,5,4.2,3,13115,28,Desktop,East,Gold,0,1457.22,2623.0,13115,10.0,20,0.7326324677392158,2.302585092994046,9.48158813796454,112.0,2.3999999999999995,51-65,Low,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,0.15856095936042638,0.17163048965169106,0.16173469387755102,0.17013086989992302,0.17519623233908949,0.3002,0.1981,0.196,0.1299,0.3185,6,10,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
5,35,43717,7,45,22,3.6,3,18322,33,Desktop,North,Bronze,0,2617.43,832.82,18322,10.0,0,0.6930406200864415,2.0794415416798357,9.815912380280174,153.0095,4.199999999999999,26-35,High,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,0.15856095936042638,0.16658452439625432,0.17365878464276632,0.16300036062026685,0.174,0.3002,0.2029,0.3933,0.2773,0.25,2,2,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
6,35,20000,3,71,6,3.7,5,14145,17,Mobile,South,Platinum,0,4715.0,2357.5,14145,10.0,25,0.8278784880832378,1.3862943611198906,9.557187177595935,70.0,6.499999999999999,26-35,Low,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,0.17439919893190922,0.17644183773216032,0.14825306893295562,0.16300036062026685,0.17519623233908949,0.5992,0.2046,0.1059,0.2773,0.3185,4,7,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388
7,56,20543,4,137,69,3.6,2,6508,42,Mobile,Central,Silver,0,1627.0,94.32,6508,10.0,0,0.6270890852730561,1.6094379124341003,8.780941113572387,115.0408,2.8,51-65,Medium,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,0.17439919893190922,0.15396188565697091,0.17355643044619423,0.17013086989992302,0.1669421487603306,0.5992,0.1994,0.3048,0.1299,0.1815,4,7,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388
8,47,69958,2,40,2,5.0,1,17306,37,Mobile,West,Bronze,0,8653.0,8653.0,17306,10.0,20,0.6629132704784655,1.0986122886681098,9.758866322925,328.8026,0.0,36-50,High,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,0.17439919893190922,0.17435897435897435,0.17365878464276632,0.16906390002357935,0.174,0.5992,0.195,0.3933,0.4241,0.25,6,11,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384
9,32,20000,7,51,63,2.2,1,7247,0,Mobile,West,Bronze,1,1035.29,115.03,0,10.0,30,1.0,2.0794415416798357,8.888480847722816,64.0,2.8,26-35,Low,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,0.17439919893190922,0.17435897435897435,0.17365878464276632,0.16300036062026685,0.17519623233908949,0.5992,0.195,0.3933,0.2773,0.3185,1,7,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388
10,44,72049,2,13,19,3.4,2,26572,15,Tablet,East,Silver,0,13286.0,1398.53,26572,4.8,0,0.8464817248906141,1.0986122886681098,10.187650941676283,317.0156,3.2,36-50,Very High,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,0.16401590457256462,0.17163048965169106,0.17355643044619423,0.16906390002357935,0.156,0.1006,0.1981,0.3048,0.4241,0.25,2,3,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
