event_id,animal_id,event_type,event_date,severity,response_time_hours,successful_resolution,notes
1,376,Birth,2024-01-01,Medium,7.599350861888373,0,Habitat relocation
2,115,Release,2024-01-02,Low,4.507691363511971,1,Habitat relocation
3,359,Rescue,2024-01-03,Low,1.0395170560772984,1,Routine checkup
4,459,Release,2024-01-04,Low,2.6590535714768837,1,Habitat relocation
5,452,Birth,2024-01-05,High,4.925757645105056,1,Habitat relocation
6,491,Birth,2024-01-06,Low,8.754120843993718,1,Habitat relocation
7,307,Relocation,2024-01-07,Medium,3.8257013976723595,1,Routine checkup
8,272,Rescue,2024-01-08,Low,2.3764959191304964,1,Routine checkup
9,402,Birth,2024-01-09,High,3.9654038033726757,1,Routine birth
10,132,Release,2024-01-10,Medium,1.7551408406550535,1,Routine birth
11,330,Relocation,2024-01-11,High,0.5,1,Emergency intervention
12,308,Birth,2024-01-12,Low,6.3536156265134816,1,Routine checkup
13,131,Birth,2024-01-13,Low,13.009749383947835,0,Emergency intervention
14,381,Rescue,2024-01-14,Critical,3.3073066915677876,1,Routine birth
15,209,Release,2024-01-15,High,2.263281707324781,0,Routine birth
16,462,Relocation,2024-01-16,Critical,0.5,1,Habitat relocation
17,136,Release,2024-01-17,Low,1.9308762067138052,1,Emergency intervention
18,165,Birth,2024-01-18,Critical,8.524898631440932,1,Routine birth
19,9,Medical,2024-01-19,Medium,2.6479012292736397,1,Emergency intervention
20,208,Rescue,2024-01-20,High,1.9859486772239503,1,Emergency intervention
21,261,Birth,2024-01-21,Critical,7.535376456991045,1,Routine checkup
22,362,Rescue,2024-01-22,Low,1.7300060836971445,1,Habitat relocation
23,11,Relocation,2024-01-23,Low,9.148081553796649,1,Routine birth
24,343,Birth,2024-01-24,Medium,15.899634441151873,1,Routine birth
25,481,Medical,2024-01-25,Critical,0.7527627254777318,1,Routine checkup
26,247,Medical,2024-01-26,High,19.782163493154606,1,Routine checkup
27,221,Rescue,2024-01-27,High,0.7586670286558874,0,Routine birth
28,219,Medical,2024-01-28,Low,0.5,1,Habitat relocation
29,320,Release,2024-01-29,High,17.520665426466913,1,Habitat relocation
30,196,Relocation,2024-01-30,Medium,1.8749604641173683,1,Habitat relocation
31,50,Release,2024-01-31,Low,4.507989096262211,1,Habitat relocation
32,395,Rescue,2024-02-01,Low,1.5762060674614509,0,Routine birth
33,7,Release,2024-02-02,Medium,6.25493647787011,1,Emergency intervention
34,423,Relocation,2024-02-03,Medium,2.1082491544110478,1,Routine birth
35,227,Rescue,2024-02-04,Low,0.5,1,Routine birth
36,496,Birth,2024-02-05,Critical,7.435816657487351,1,Routine birth
37,118,Medical,2024-02-06,Low,7.344991487214122,1,Habitat relocation
38,205,Birth,2024-02-07,Medium,3.3051024119838903,0,Habitat relocation
39,287,Relocation,2024-02-08,Medium,0.6749517893667688,1,Routine birth
40,22,Medical,2024-02-09,Low,7.827174322627054,1,Habitat relocation
41,256,Medical,2024-02-10,Low,7.845478347748152,1,Emergency intervention
42,48,Medical,2024-02-11,High,5.644918553985121,1,Routine checkup
43,95,Rescue,2024-02-12,Low,5.346131267746227,1,Habitat relocation
44,184,Medical,2024-02-13,Critical,1.9877745263923239,1,Routine checkup
45,89,Birth,2024-02-14,Medium,9.105448636459476,1,Habitat relocation
46,435,Rescue,2024-02-15,Low,0.5,1,Habitat relocation
47,488,Medical,2024-02-16,High,9.822375226869672,1,Emergency intervention
48,305,Release,2024-02-17,Low,3.3697044936340266,1,Routine checkup
49,380,Release,2024-02-18,High,2.3618157525185395,1,Emergency intervention
50,201,Rescue,2024-02-19,High,3.314449330946257,1,Habitat relocation
51,215,Rescue,2024-02-20,Medium,1.8723058951830442,1,Emergency intervention
52,496,Birth,2024-02-21,Medium,27.002980750516844,1,Habitat relocation
53,313,Medical,2024-02-22,Low,4.859363638354443,1,Routine birth
54,134,Medical,2024-02-23,Low,1.8700488692260944,0,Routine birth
55,229,Rescue,2024-02-24,Medium,0.6262868881672058,0,Habitat relocation
56,348,Relocation,2024-02-25,Medium,0.9526402283022918,1,Emergency intervention
57,439,Medical,2024-02-26,High,3.4598876221683446,1,Routine checkup
58,477,Medical,2024-02-27,Medium,2.3912506858266473,1,Emergency intervention
59,82,Relocation,2024-02-28,Critical,3.9414431181321725,1,Routine checkup
60,348,Rescue,2024-02-29,Medium,3.595534798659863,1,Routine checkup
61,364,Relocation,2024-03-01,Low,4.742927232367398,1,Routine checkup
62,247,Relocation,2024-03-02,Low,1.8938650236518106,1,Habitat relocation
63,286,Birth,2024-03-03,Medium,15.966935939719097,1,Routine checkup
64,185,Relocation,2024-03-04,Low,1.289351753854834,1,Habitat relocation
65,478,Relocation,2024-03-05,Low,0.9280910342778859,1,Routine checkup
66,154,Medical,2024-03-06,High,8.077148544106983,1,Habitat relocation
67,133,Rescue,2024-03-07,High,3.2942453049560876,1,Routine birth
68,147,Medical,2024-03-08,Low,1.7126462178085227,1,Emergency intervention
69,55,Relocation,2024-03-09,Medium,2.2227009091998715,1,Habitat relocation
70,134,Medical,2024-03-10,Medium,3.4152507627600532,1,Habitat relocation
71,18,Release,2024-03-11,Low,0.5,1,Routine checkup
72,450,Birth,2024-03-12,Low,2.6846055186777114,0,Routine birth
73,455,Relocation,2024-03-13,Low,8.525928820737732,1,Habitat relocation
74,12,Release,2024-03-14,Critical,4.723519126044761,1,Routine birth
75,358,Rescue,2024-03-15,Low,2.88674832928383,1,Habitat relocation
76,336,Rescue,2024-03-16,High,5.6353043108169985,1,Routine birth
77,129,Release,2024-03-17,Low,0.8423214915307626,1,Emergency intervention
78,70,Rescue,2024-03-18,Low,5.442970757159116,1,Habitat relocation
79,256,Relocation,2024-03-19,Medium,1.3209289588107787,1,Routine checkup
