visitor_id,age,ticket_type,visit_date,group_size,spend_amount,satisfaction_score,attractions_visited,time_spent_hours,return_visitor,feedback_text
1,5,Premium,2024-01-01,2,101.18409009536882,3.5,2,1.6664615355768038,1,Educational and fun
2,33,Premium,2024-01-02,4,10.0,4.2,4,3.3893844337966774,0,Great day out
3,38,Standard,2024-01-03,2,138.7073226556636,4.2,3,5.142296689696228,0,Animals were active
4,66,Annual Pass,2024-01-04,1,107.42009806894143,3.4,6,2.7394611783634284,1,Great day out
5,22,VIP,2024-01-05,3,263.0812443836551,2.9,2,3.2061442928270747,0,Too crowded
6,66,Standard,2024-01-06,5,145.2883635363492,4.7,2,5.0584928606083785,0,Too crowded
7,65,Premium,2024-01-07,2,44.791151983205104,1.1,2,3.496481477713532,0,Animals were active
8,23,Premium,2024-01-08,4,23.59482999838997,3.1,4,3.360756032034048,1,Great day out
9,56,Standard,2024-01-09,4,10.898515074522859,1.6,4,5.400123843473764,0,Amazing experience!
10,50,Standard,2024-01-10,3,51.61736559560487,1.8,9,3.850562846329316,1,Amazing experience!
11,12,VIP,2024-01-11,1,12.458769353236118,2.3,4,7.236722826082943,1,Too crowded
12,14,VIP,2024-01-12,2,104.46837913902138,2.4,3,3.2512212970615533,0,Expensive
13,28,Standard,2024-01-13,2,194.4414379316423,1.9,4,3.1549755614530666,0,Animals were active
14,31,Standard,2024-01-14,2,86.43488843731109,1.5,3,3.269622974153121,0,Animals were active
15,24,Annual Pass,2024-01-15,1,28.737351352685735,3.5,3,3.1848321509418485,1,Expensive
16,23,Standard,2024-01-16,2,84.89297354005531,3.2,11,1.689831654469756,0,Animals were active
17,63,Standard,2024-01-17,3,175.40451842377567,4.0,4,4.260591229635635,1,Great day out
18,23,Standard,2024-01-18,1,64.19882778822088,3.6,2,2.20507273783718,0,Too crowded
19,7,Standard,2024-01-19,1,213.40448204210315,1.3,5,2.0022161567620946,0,Expensive
20,62,Standard,2024-01-20,1,111.17388562209179,3.7,3,4.3025798709180005,1,Amazing experience!
21,69,Premium,2024-01-21,1,10.0,3.3,1,6.79583308615055,0,Animals were active
22,41,Standard,2024-01-22,4,13.88844038407351,3.7,2,5.689457674284553,0,Animals were active
23,43,Premium,2024-01-23,4,92.34611240168066,2.8,1,2.7922437714901953,0,Educational and fun
24,41,Standard,2024-01-24,1,12.44691813595449,1.7,3,2.5445377306343806,1,Educational and fun
25,28,Premium,2024-01-25,1,263.58743288472425,3.3,3,4.429284031660447,0,Animals were active
26,27,Standard,2024-01-26,5,66.70628584224903,4.7,4,3.3903792335973804,0,Expensive
27,30,Annual Pass,2024-01-27,9,10.675335121485997,2.3,4,3.312507219883921,0,Educational and fun
28,5,Standard,2024-01-28,1,22.86716209912096,3.7,3,6.194337011056739,0,Too crowded
29,11,Standard,2024-01-29,1,154.97109662346648,4.7,3,3.5923087651564143,1,Educational and fun
30,17,Premium,2024-01-30,2,14.848787258802506,2.3,2,3.5683752428372015,1,Animals were active
31,57,Premium,2024-01-31,3,117.25774904608124,3.9,3,1.0,0,Too crowded
32,65,VIP,2024-02-01,4,80.16263700600098,1.6,4,7.095734943463005,0,Animals were active
33,40,Standard,2024-02-02,2,14.497018074142096,3.9,5,2.1112356083610218,1,Great day out
34,25,Premium,2024-02-03,2,114.2836828998569,3.6,2,3.7052458656810994,1,Amazing experience!
35,24,Standard,2024-02-04,3,48.883156110016884,2.5,3,3.260014713168211,0,Amazing experience!
36,24,Annual Pass,2024-02-05,3,194.69184596700467,1.5,4,3.0296992117477393,0,Expensive
37,68,VIP,2024-02-06,2,68.36329226555215,3.1,7,6.447506857388791,1,Amazing experience!
38,5,Premium,2024-02-07,2,28.93004470231871,3.5,7,4.752544680991512,1,Animals were active
39,48,Standard,2024-02-08,1,43.08654473815083,4.6,6,5.026029523344036,0,Amazing experience!
40,67,Annual Pass,2024-02-09,2,74.46756622524472,2.7,7,1.658285885365057,0,Educational and fun
41,37,Standard,2024-02-10,1,106.8670796718918,3.8,3,3.166696341413761,0,Great day out
42,23,Standard,2024-02-11,3,10.0,1.4,4,3.587919547785495,0,Educational and fun
43,45,Standard,2024-02-12,1,151.93632175904327,2.8,4,7.101873488061319,0,Amazing experience!
44,57,VIP,2024-02-13,7,39.18648125336233,1.0,1,3.306586270233726,0,Educational and fun
45,28,Standard,2024-02-14,2,138.61885800762417,1.9,3,4.748904350080731,0,Great day out
46,59,Standard,2024-02-15,1,21.365743643208713,2.8,1,3.641464103913535,0,Animals were active
47,57,Premium,2024-02-16,1,12.936919453875191,4.6,3,4.125786305746685,1,Expensive
48,42,Standard,2024-02-17,4,131.9365807763299,1.7,4,5.4490121383502625,0,Amazing experience!
49,41,Premium,2024-02-18,1,84.22515588502812,4.6,7,5.004566817145071,0,Educational and fun
50,7,VIP,2024-02-19,1,46.3796081168269,1.9,1,4.256866526348304,1,Too crowded
51,51,Premium,2024-02-20,6,10.0,2.2,2,2.3962927335148714,0,Educational and fun
52,10,Standard,2024-02-21,1,18.081363064621875,5.0,3,2.241418304439433,1,Great day out
53,49,Standard,2024-02-22,3,203.6734441436647,1.9,4,6.36734088597725,1,Animals were active
54,43,Standard,2024-02-23,3,13.232138360896535,3.1,4,4.6966956445892425,0,Educational and fun
55,9,Standard,2024-02-24,3,65.82770371071098,4.9,4,2.3676541252509087,1,Animals were active
56,13,Premium,2024-02-25,2,95.3658036564432,4.6,8,2.912712775956944,1,Great day out
57,36,Standard,2024-02-26,1,18.97990110564414,2.9,4,3.5164268152276614,0,Expensive
58,27,VIP,2024-02-27,5,53.40994979637919,3.9,5,2.5518239617944167,0,Great day out
59,43,Annual Pass,2024-02-28,6,57.40741638429359,3.9,4,1.997476387010999,1,Amazing experience!
60,11,Premium,2024-02-29,5,21.230803522681512,2.4,1,4.725147247439549,1,Animals were active
61,56,Premium,2024-03-01,7,26.442243969543206,2.0,3,4.67978083106663,0,Expensive
62,30,Standard,2024-03-02,3,180.06445678660327,3.6,3,2.7716547329972077,0,Amazing experience!
63,8,VIP,2024-03-03,1,40.9202478513783,2.3,2,3.154180864646527,0,Great day out
64,56,Premium,2024-03-04,2,12.343758389505915,3.8,6,3.298857510622316,1,Amazing experience!
65,42,Premium,2024-03-05,2,64.541913213381,2.7,4,5.496517931412983,1,Animals were active
66,51,VIP,2024-03-06,3,79.9139504960859,4.3,2,6.179977513152862,1,Animals were active
67,67,Premium,2024-03-07,1,47.2380431541353,3.4,4,1.543364373064998,1,Animals were active
68,5,Standard,2024-03-08,3,48.38588032114026,1.9,6,2.8281738158007617,0,Expensive
69,63,Annual Pass,2024-03-09,3,53.72270186697433,2.1,4,3.478328792056314,0,Animals were active
70,30,Standard,2024-03-10,2,22.804436614289344,2.3,4,4.12479111886603,1,Great day out
71,68,Standard,2024-03-11,2,295.8070792696153,4.1,3,3.6636169662720226,0,Too crowded
72,32,Standard,2024-03-12,1,10.599127183321837,4.0,1,1.1013639522723677,0,Animals were active
73,48,VIP,2024-03-13,6,20.75104424504108,1.2,3,1.3626012036539903,1,Too crowded
74,49,Standard,2024-03-14,2,70.37480922212238,4.9,1,1.0,1,Amazing experience!
75,17,VIP,2024-03-15,4,19.369473522564967,4.2,2,4.19835316974862,0,Educational and fun
76,6,Premium,2024-03-16,1,61.93565357836951,2.5,5,2.2733699880160723,0,Expensive
77,13,Premium,2024-03-17,5,24.389767769288895,3.1,2,2.627139636303251,0,Great day out
78,28,Premium,2024-03-18,2,10.0,1.7,3,3.2133901585030205,1,Expensive
79,36,Standard,2024-03-19,3,213.92177134872026,2.5,7,7.395231769768998,0,Too crowded
80,21,Standard,2024-03-20,4,72.79617348519398,2.5,3,3.5821019109570353,0,Expensive
81,57,Premium,2024-03-21,5,28.74581415650271,1.1,8,6.822110086908559,0,Animals were active
82,14,Premium,2024-03-22,1,40.36854607866272,4.8,6,4.27249721684234,1,Too crowded
83,31,Annual Pass,2024-03-23,4,102.92534542555998,3.4,2,1.7090793450254678,0,Too crowded
84,14,Standard,2024-03-24,3,79.48650010301496,4.9,8,2.7952170592494707,0,Great day out
85,36,VIP,2024-03-25,3,16.3161260185295,1.9,3,1.6366477491910065,0,Great day out
86,9,Standard,2024-03-26,1,10.0,1.8,4,4.538458293885686,1,Educational and fun
87,14,Standard,2024-03-27,3,50.69120627622142,3.9,5,2.906931063687098,0,Expensive
88,14,Annual Pass,2024-03-28,1,41.33105132683298,2.6,3,3.141688213532457,0,Animals were active
89,50,Standard,2024-03-29,2,22.033986874257444,1.4,3,6.704915671761896,0,Expensive
90,63,Standard,2024-03-30,4,77.73764953060946,1.5,3,4.66351675581105,1,Great day out
91,56,Premium,2024-03-31,2,84.7137560345665,3.2,3,2.016678626957052,0,Educational and fun
92,12,Premium,2024-04-01,1,85.5200291944638,3.3,2,4.650027912288206,0,Expensive
93,19,Standard,2024-04-02,2,10.0,3.3,5,4.649513342901881,0,Amazing experience!
94,36,Premium,2024-04-03,1,36.13656309401668,1.4,1,2.8595968520159163,1,Educational and fun
95,47,Standard,2024-04-04,3,146.41382359595679,1.3,6,3.8101380498863238,0,Animals were active
96,62,Annual Pass,2024-04-05,2,14.991831398200224,2.5,1,3.6974889094856653,1,Too crowded
97,43,Standard,2024-04-06,4,34.524313008669516,1.2,3,3.637164051046137,1,Animals were active
98,66,Premium,2024-04-07,1,10.680081095403404,3.2,1,3.1033770536636256,0,Too crowded
99,51,Annual Pass,2024-04-08,4,23.193959540071415,4.2,4,4.737647400252266,1,Educational and fun
100,39,Premium,2024-04-09,2,38.94570712965958,1.5,6,4.989155758496711,1,Educational and fun
101,54,Standard,2024-04-10,1,55.52037242555696,4.1,4,6.690342353915452,1,Educational and fun
102,17,Annual Pass,2024-04-11,1,60.12584995856818,2.5,1,6.0820344568174916,1,Great day out
103,45,Standard,2024-04-12,3,55.430464211416215,2.6,3,4.270594920960451,0,Animals were active
104,45,Premium,2024-04-13,3,222.10786880478193,4.0,2,1.4278199152726132,0,Animals were active
105,13,Standard,2024-04-14,6,21.499598407006392,1.2,2,4.892686703886314,0,Amazing experience!
106,43,Standard,2024-04-15,1,64.79511350952363,4.6,7,5.221538750241533,0,Great day out
107,63,Premium,2024-04-16,1,45.7501623037993,4.8,7,7.360233802166433,1,Animals were active
108,27,Annual Pass,2024-04-17,5,143.178348565077,3.5,7,6.562804488704676,0,Too crowded
109,29,Premium,2024-04-18,1,10.0,3.9,8,5.929928794338345,1,Amazing experience!
110,31,Standard,2024-04-19,4,29.631202941470754,1.5,9,3.051304888151228,1,Expensive
111,12,Premium,2024-04-20,1,268.1924849845102,1.2,3,4.746718178696069,0,Too crowded
