content_id,title,description,genre,rating,view_count,like_count,comment_count,share_count,upload_date
1,Short Drama Episode 1,Horror suspense with supernatural elements and jump scares,Comedy,2.5,50154,4907,490,201,2024-01-01 00:00:00
2,Short Drama Episode 2,Heartwarming family comedy about relationships and laughter,Fantasy,2.3,49901,4832,516,189,2024-01-01 01:00:00
3,Short Drama Episode 3,Mystery thriller with unexpected twists and shocking revelations,Sci-Fi,1.7,49989,4966,498,204,2024-01-01 02:00:00
4,Short Drama Episode 4,Horror suspense with supernatural elements and jump scares,Fantasy,3.4,50594,4894,496,205,2024-01-01 03:00:00
5,Short Drama Episode 5,Action-packed martial arts adventure with breathtaking fight scenes,Fantasy,2.9,50139,4883,499,200,2024-01-01 04:00:00
6,Short Drama Episode 6,Science fiction dystopian future exploring human nature,Comedy,4.5,49946,4946,497,194,2024-01-01 05:00:00
7,Short Drama Episode 7,Mystery thriller with unexpected twists and shocking revelations,Horror,1.1,49719,4834,509,184,2024-01-01 06:00:00
8,Short Drama Episode 8,Mystery thriller with unexpected twists and shocking revelations,Drama,3.6,49897,4993,549,181,2024-01-01 07:00:00
9,Short Drama Episode 9,Horror suspense with supernatural elements and jump scares,Comedy,4.1,50063,5162,493,187,2024-01-01 08:00:00
10,Short Drama Episode 10,Historical romance during the Joseon dynasty filled with intrigue,Thriller,4.0,49888,5056,504,178,2024-01-01 09:00:00
11,Short Drama Episode 11,Action-packed martial arts adventure with breathtaking fight scenes,Comedy,4.5,49887,5014,498,218,2024-01-01 10:00:00
12,Short Drama Episode 12,Horror suspense with supernatural elements and jump scares,Thriller,3.9,50019,5063,516,212,2024-01-01 11:00:00
13,Short Drama Episode 13,Action-packed martial arts adventure with breathtaking fight scenes,Fantasy,4.7,49735,5093,517,192,2024-01-01 12:00:00
14,Short Drama Episode 14,Action-packed martial arts adventure with breathtaking fight scenes,Sci-Fi,2.3,49805,5089,487,218,2024-01-01 13:00:00
15,Short Drama Episode 15,Science fiction dystopian future exploring human nature,Comedy,3.0,50199,4945,519,200,2024-01-01 14:00:00
16,Short Drama Episode 16,Mystery thriller with unexpected twists and shocking revelations,Thriller,1.1,50150,4973,507,211,2024-01-01 15:00:00
17,Short Drama Episode 17,Heartwarming family comedy about relationships and laughter,Comedy,1.0,49595,4815,508,201,2024-01-01 16:00:00
18,Short Drama Episode 18,Science fiction dystopian future exploring human nature,Sci-Fi,2.0,50050,4892,506,190,2024-01-01 17:00:00
19,Short Drama Episode 19,Science fiction dystopian future exploring human nature,Fantasy,1.4,50329,5043,476,195,2024-01-01 18:00:00
20,Short Drama Episode 20,Action-packed martial arts adventure with breathtaking fight scenes,Comedy,2.0,49790,5070,496,201,2024-01-01 19:00:00
21,Short Drama Episode 21,"Coming-of-age drama about friendship, love, and growing up",Action,1.7,50139,5189,495,192,2024-01-01 20:00:00
22,Short Drama Episode 22,Mystery thriller with unexpected twists and shocking revelations,Thriller,1.1,49554,5096,493,193,2024-01-01 21:00:00
23,Short Drama Episode 23,Historical romance during the Joseon dynasty filled with intrigue,Sci-Fi,4.6,49878,4979,479,199,2024-01-01 22:00:00
24,Short Drama Episode 24,Science fiction dystopian future exploring human nature,Thriller,1.0,50010,5036,505,174,2024-01-01 23:00:00
25,Short Drama Episode 25,Heartwarming family comedy about relationships and laughter,Thriller,3.9,50046,4898,514,197,2024-01-02 00:00:00
26,Short Drama Episode 26,"Coming-of-age drama about friendship, love, and growing up",Romance,1.6,49813,4988,525,192,2024-01-02 01:00:00
27,Short Drama Episode 27,"Coming-of-age drama about friendship, love, and growing up",Sci-Fi,4.6,50367,4983,521,214,2024-01-02 02:00:00
28,Short Drama Episode 28,Historical romance during the Joseon dynasty filled with intrigue,Comedy,4.6,49961,4867,477,194,2024-01-02 03:00:00
29,Short Drama Episode 29,Science fiction dystopian future exploring human nature,Thriller,3.6,50166,4910,521,178,2024-01-02 04:00:00
30,Short Drama Episode 30,Heartwarming family comedy about relationships and laughter,Horror,3.7,50385,4975,494,204,2024-01-02 05:00:00
31,Short Drama Episode 31,Mystery thriller with unexpected twists and shocking revelations,Romance,1.0,49863,4994,494,206,2024-01-02 06:00:00
32,Short Drama Episode 32,A thrilling love story set in modern Seoul with unexpected twists,Action,4.9,49946,4962,473,233,2024-01-02 07:00:00
33,Short Drama Episode 33,Heartwarming family comedy about relationships and laughter,Thriller,4.5,49949,4998,490,193,2024-01-02 08:00:00
34,Short Drama Episode 34,Historical romance during the Joseon dynasty filled with intrigue,Fantasy,4.6,49981,5049,498,196,2024-01-02 09:00:00
35,Short Drama Episode 35,"Coming-of-age drama about friendship, love, and growing up",Thriller,3.6,50211,5090,498,183,2024-01-02 10:00:00
36,Short Drama Episode 36,Mystery thriller with unexpected twists and shocking revelations,Romance,2.4,49753,4985,483,177,2024-01-02 11:00:00
37,Short Drama Episode 37,Heartwarming family comedy about relationships and laughter,Comedy,4.6,50200,4950,481,198,2024-01-02 12:00:00
38,Short Drama Episode 38,A thrilling love story set in modern Seoul with unexpected twists,Horror,2.2,50129,4930,506,191,2024-01-02 13:00:00
39,Short Drama Episode 39,A thrilling love story set in modern Seoul with unexpected twists,Fantasy,3.3,49823,5112,493,211,2024-01-02 14:00:00
40,Short Drama Episode 40,Action-packed martial arts adventure with breathtaking fight scenes,Action,1.4,49626,5040,518,197,2024-01-02 15:00:00
41,Short Drama Episode 41,Action-packed martial arts adventure with breathtaking fight scenes,Fantasy,4.7,49796,5005,484,221,2024-01-02 16:00:00
42,Short Drama Episode 42,Horror suspense with supernatural elements and jump scares,Thriller,1.6,50002,4979,501,182,2024-01-02 17:00:00
43,Short Drama Episode 43,Historical romance during the Joseon dynasty filled with intrigue,Comedy,1.9,50137,4970,480,174,2024-01-02 18:00:00
44,Short Drama Episode 44,Science fiction dystopian future exploring human nature,Sci-Fi,3.2,50152,5097,475,213,2024-01-02 19:00:00
