query_id,query_text,search_intent,user_id,timestamp,device_type
1,top rated Sci-Fi series,Social,user_3773,2024-08-26 22:00:00,Mobile
2,watch Sci-Fi online,Transactional,user_3445,2024-12-12 18:00:00,Mobile
3,top rated Action series,Entertainment,user_2434,2024-08-09 07:00:00,Tablet
4,top rated Romance series,Navigational,user_4118,2024-09-23 12:00:00,Mobile
5,watch Romance online,Transactional,user_2559,2024-11-23 01:00:00,Mobile
6,top rated Comedy series,Entertainment,user_1529,2024-05-28 04:00:00,Desktop
7,best Thriller content,Navigational,user_2436,2025-01-01 08:00:00,Tablet
8,Action short drama,Informational,user_2613,2024-10-20 09:00:00,Desktop
9,top rated Sci-Fi series,Social,user_776,2024-12-08 18:00:00,Tablet
10,Drama short drama,Entertainment,user_3074,2024-02-12 13:00:00,Mobile
11,top rated video series,Social,user_4799,2024-10-13 09:00:00,Mobile
12,video short drama,Entertainment,user_4912,2024-11-13 21:00:00,Mobile
13,short drama short drama,Social,user_338,2024-02-06 14:00:00,Desktop
14,best video content,Entertainment,user_380,2024-12-27 20:00:00,Mobile
15,best Romance content,Informational,user_2028,2024-04-22 07:00:00,Mobile
16,watch content online,Informational,user_392,2024-09-02 12:00:00,Tablet
17,best video content,Entertainment,user_201,2024-05-09 08:00:00,Mobile
18,Sci-Fi short drama,Social,user_2732,2024-12-05 18:00:00,Mobile
19,best Comedy content,Transactional,user_3841,2024-02-12 20:00:00,Mobile
20,watch Sci-Fi online,Informational,user_207,2024-08-01 22:00:00,Mobile
21,watch Comedy online,Informational,user_564,2024-08-01 04:00:00,Mobile
22,watch Thriller online,Social,user_1679,2024-05-15 02:00:00,Mobile
23,watch Sci-Fi online,Transactional,user_3158,2024-09-03 11:00:00,Tablet
24,best short drama content,Entertainment,user_3628,2025-02-02 03:00:00,Desktop
25,top rated content series,Navigational,user_2039,2024-08-21 00:00:00,Mobile
26,best Romance content,Informational,user_1307,2024-10-09 08:00:00,Desktop
27,watch short drama online,Transactional,user_4745,2024-07-02 21:00:00,Mobile
28,Comedy short drama,Entertainment,user_664,2024-03-24 06:00:00,Mobile
29,best Fantasy content,Entertainment,user_1854,2024-10-01 09:00:00,Tablet
30,Sci-Fi short drama,Transactional,user_1637,2024-06-03 00:00:00,Tablet
31,best content content,Navigational,user_4738,2024-02-05 14:00:00,Mobile
32,best Romance content,Transactional,user_1708,2024-08-29 07:00:00,Mobile
33,top rated Sci-Fi series,Transactional,user_3256,2024-06-24 18:00:00,Mobile
34,top rated Horror series,Social,user_2932,2024-11-20 01:00:00,Desktop
35,watch content online,Informational,user_3273,2025-01-24 03:00:00,Mobile
36,top rated Comedy series,Entertainment,user_1370,2024-03-23 18:00:00,Desktop
37,top rated Drama series,Entertainment,user_489,2024-05-04 00:00:00,Mobile
38,Sci-Fi short drama,Informational,user_1803,2024-12-05 19:00:00,Desktop
39,watch Action online,Navigational,user_263,2024-09-18 23:00:00,Desktop
40,top rated short drama series,Entertainment,user_4977,2024-03-26 09:00:00,Tablet
41,best Thriller content,Transactional,user_2057,2024-11-04 08:00:00,Mobile
42,top rated Comedy series,Informational,user_3992,2024-03-09 16:00:00,Mobile
43,top rated Horror series,Entertainment,user_254,2024-04-16 13:00:00,Tablet
44,best short drama content,Navigational,user_4974,2024-07-03 17:00:00,Mobile
45,top rated Comedy series,Social,user_4068,2024-12-14 00:00:00,Mobile
46,top rated Thriller series,Entertainment,user_1528,2024-09-07 15:00:00,Desktop
47,best Comedy content,Informational,user_2736,2024-07-08 19:00:00,Mobile
48,watch Horror online,Social,user_563,2024-09-02 15:00:00,Desktop
49,best Action content,Informational,user_960,2024-08-21 08:00:00,Mobile
50,top rated Comedy series,Transactional,user_3121,2024-11-15 23:00:00,Mobile
51,Thriller short drama,Transactional,user_1061,2024-04-06 23:00:00,Mobile
52,watch Thriller online,Transactional,user_700,2024-07-31 00:00:00,Mobile
53,top rated Thriller series,Informational,user_3328,2024-05-21 10:00:00,Mobile
54,short drama short drama,Navigational,user_1896,2024-04-23 21:00:00,Mobile
55,watch Horror online,Navigational,user_155,2024-02-28 17:00:00,Mobile
56,best Fantasy content,Informational,user_4342,2024-11-01 23:00:00,Mobile
57,watch video online,Navigational,user_1842,2024-12-29 04:00:00,Mobile
58,best Sci-Fi content,Entertainment,user_4781,2024-04-08 16:00:00,Mobile
59,watch Comedy online,Entertainment,user_4930,2024-09-03 15:00:00,Mobile
60,watch Horror online,Informational,user_3770,2024-01-24 22:00:00,Tablet
61,Horror short drama,Navigational,user_1716,2024-07-18 01:00:00,Desktop
62,watch Horror online,Entertainment,user_2661,2024-05-10 04:00:00,Mobile
63,watch Thriller online,Entertainment,user_4870,2024-02-06 12:00:00,Mobile
64,watch Comedy online,Entertainment,user_4365,2024-07-05 01:00:00,Mobile
65,best Comedy content,Transactional,user_3676,2024-08-03 17:00:00,Mobile
