query_id,content_id,relevance_score,judgment_source
15796,502,2,simulated
861,9366,2,simulated
38159,1928,2,simulated
44733,9541,2,simulated
11285,3708,0,simulated
6266,3361,3,simulated
16851,8076,3,simulated
37195,7887,0,simulated
21963,2876,1,simulated
47192,1578,2,simulated
44132,4298,0,simulated
16024,6716,3,simulated
41091,3434,0,simulated
1686,2425,0,simulated
770,6209,3,simulated
2434,534,2,simulated
5312,7616,4,simulated
37820,3455,1,simulated
39189,5144,1,simulated
17569,3873,3,simulated
19770,6917,3,simulated
28694,1506,0,simulated
6397,9534,0,simulated
27481,1759,1,simulated
41435,1945,2,simulated
25659,5570,4,simulated
18943,1556,1,simulated
18432,6776,2,simulated
2748,1603,2,simulated
190,9914,0,simulated
19119,2554,4,simulated
35774,4521,0,simulated
1900,8768,0,simulated
1268,870,2,simulated
31552,1326,2,simulated
11395,6588,2,simulated
3557,2792,0,simulated
3891,9402,3,simulated
41607,4248,0,simulated
30741,6051,0,simulated
14503,3607,0,simulated
21778,3964,1,simulated
10628,5334,3,simulated
8793,3728,0,simulated
43324,8134,3,simulated
43022,5607,2,simulated
8434,7866,3,simulated
43002,3839,1,simulated
11017,9535,0,simulated
23898,9882,0,simulated
2613,9097,1,simulated
23484,4720,0,simulated
48556,536,0,simulated
17160,687,0,simulated
44975,3773,0,simulated
40995,6757,2,simulated
14542,8930,1,simulated
35921,1181,2,simulated
26532,2914,2,simulated
1586,788,0,simulated
3944,773,1,simulated
23940,8428,1,simulated
19458,4574,1,simulated
1022,7547,3,simulated
11654,690,0,simulated
43574,7956,1,simulated
13418,5589,1,simulated
40758,5268,3,simulated
9693,8966,0,simulated
45759,8343,1,simulated
6874,9693,1,simulated
5676,3234,1,simulated
162,9819,3,simulated
37066,9658,3,simulated
26558,8318,1,simulated
33764,4020,1,simulated
32607,4212,2,simulated
11535,5987,1,simulated
29128,2588,2,simulated
40398,3209,2,simulated
25852,7646,3,simulated
1017,3473,2,simulated
24254,5500,2,simulated
24277,4129,4,simulated
23248,6973,0,simulated
24301,5085,1,simulated
8530,6949,0,simulated
17263,2061,3,simulated
9269,7464,3,simulated
21272,3326,0,simulated
12186,4455,2,simulated
21244,823,4,simulated
39100,2062,3,simulated
8572,8352,2,simulated
39977,907,1,simulated
38045,2787,1,simulated
49217,9893,0,simulated
48985,6942,0,simulated
40775,4429,4,simulated
2569,1574,1,simulated
2028,3251,0,simulated
2696,1342,2,simulated
48191,4705,0,simulated
5259,2078,1,simulated
22003,4530,3,simulated
39505,1031,2,simulated
33160,1831,2,simulated
13987,5565,3,simulated
12667,784,3,simulated
38661,8907,2,simulated
3562,5029,2,simulated
26855,7477,0,simulated
38953,8782,2,simulated
22663,2711,0,simulated
8393,5498,1,simulated
30536,8379,3,simulated
13068,7519,1,simulated
48034,9244,0,simulated
23600,490,2,simulated
35223,7166,0,simulated
11838,9560,0,simulated
14040,4787,0,simulated
30819,1746,1,simulated
19116,7881,1,simulated
10966,6259,3,simulated
24539,4899,0,simulated
42531,9355,1,simulated
5057,5175,0,simulated
32483,8786,0,simulated
47717,2586,1,simulated
8111,559,0,simulated
13774,8702,2,simulated
27267,3569,0,simulated
17413,3610,1,simulated
33271,313,0,simulated
6911,7377,4,simulated
45454,3192,2,simulated
25447,3663,0,simulated
207,1968,4,simulated
21519,7209,0,simulated
22362,6133,3,simulated
23420,1792,4,simulated
48703,8024,4,simulated
41524,4050,3,simulated
45152,1610,4,simulated
22404,4612,0,simulated
18142,5055,3,simulated
14821,6095,2,simulated
40343,9738,2,simulated
6375,9827,0,simulated
1679,8224,4,simulated
33828,2633,0,simulated
16199,2463,0,simulated
9915,6377,3,simulated
27891,4495,2,simulated
22300,7346,2,simulated
43586,6659,2,simulated
43690,104,0,simulated
42558,6179,3,simulated
49081,627,0,simulated
44021,6454,1,simulated
2694,6906,0,simulated
29468,9626,3,simulated
29724,3294,0,simulated
46700,7522,1,simulated
3628,5923,4,simulated
25940,7906,3,simulated
48926,6384,0,simulated
42942,3697,4,simulated
21835,379,1,simulated
18048,3216,3,simulated
26106,4339,0,simulated
10231,3921,0,simulated
15708,69,0,simulated
